Year,Name,Frequency,Rank
1980,Brayton,2,579
1980,Brodie,2,579
1980,Brody,2,579
1980,Bruno,2,579
1980,Bryant,2,579
1980,Bryn,2,579
1980,Bryon,2,579
1980,Buckley,2,579
1980,Buddy,2,579
1980,Caley,2,579
1980,Carlo,2,579
1980,Carlton,2,579
1980,Carmen,2,579
1980,Cassius,2,579
1980,Cecil,2,579
1980,Chase,2,579
1980,Chevy,2,579
1980,Christopher-John,2,579
1980,Claude,2,579
1980,Clay,2,579
1980,Conan,2,579
1980,Cordel,2,579
1980,Coty,2,579
1980,Curt,2,579
1980,Dalen,2,579
1980,Dallan,2,579
1980,Damian,2,579
1980,Daniele,2,579
1980,Danniel,2,579
1980,Danyal,2,579
1980,Darek,2,579
1980,Darian,2,579
1980,Darwin,2,579
1980,Daryn,2,579
1980,Dave,2,579
1980,Dawson,2,579
1980,Dayton,2,579
1980,Delbert,2,579
1980,Delmer,2,579
1980,Denny,2,579
1980,Devan,2,579
1980,Devron,2,579
1980,Dillin,2,579
1980,Dimitrios,2,579
1980,Dolan,2,579
1980,Donavan,2,579
1980,Doran,2,579
1980,Dragan,2,579
1980,Ean,2,579
1980,Edmond,2,579
1980,Elden,2,579
1980,Emile,2,579
1980,Erich,2,579
1980,Erick,2,579
1980,Ezekiel,2,579
1980,Fabien,2,579
1980,Fayaz,2,579
1980,Ferlin,2,579
1980,Fernando,2,579
1980,Forrest,2,579
1980,Foster,2,579
1980,Francesco,2,579
1980,Franco,2,579
1980,Franklin,2,579
1980,Fred,2,579
1980,Gautam,2,579
1980,Gerad,2,579
1980,Gerrit,2,579
1980,Gianni,2,579
1980,Gideon,2,579
1980,Graydon,2,579
1980,Gregorio,2,579
1980,Hans,2,579
1980,Hardy,2,579
1980,Harrison,2,579
1980,Heinrich,2,579
1980,Hendrik,2,579
1980,Herbert,2,579
1980,Horace,2,579
1980,Hudson,2,579
1980,Hugo,2,579
1980,Ira,2,579
1980,Irfan,2,579
1980,Irvin,2,579
1980,Ivor,2,579
1980,J.,2,579
1980,Jacky,2,579
1980,Jaden,2,579
1980,Jamal,2,579
1980,Jamey,2,579
1980,Jaroslaw,2,579
1980,Jarrid,2,579
1980,Jarvis,2,579
1980,Javier,2,579
1980,Jaymie,2,579
1980,Jedediah,2,579
1980,Jenson,2,579
1980,Jerald,2,579
1980,Jeromy,2,579
1980,Jerrid,2,579
1980,Jevon,2,579
1980,Johannes,2,579
1980,Jorden,2,579
1980,Josh,2,579
1980,Jovan,2,579
1980,Jozsef,2,579
1980,Jules,2,579
1980,Junior,2,579
1980,Kale,2,579
1980,Kalvin,2,579
1980,Kameron,2,579
1980,Kari,2,579
1980,Karim,2,579
1980,Keenan,2,579
1980,Kevan,2,579
1980,Khalil,2,579
1980,Kody,2,579
1980,Konstantine,2,579
1980,Korey,2,579
1980,Kosmas,2,579
1980,Lange,2,579
1980,Laurence,2,579
1980,Leighton,2,579
1980,Lenard,2,579
1980,Leroy,2,579
1980,Lesley,2,579
1980,Lester,2,579
1980,Levon,2,579
1980,Louie,2,579
1980,Luca,2,579
1980,Luigi,2,579
1980,Luis,2,579
1980,Lynden,2,579
1980,Makoto,2,579
1980,Manoj,2,579
1980,Manuel,2,579
1980,Marcelo,2,579
1980,Marlon,2,579
1980,Marshal,2,579
1980,Matt,2,579
1980,Merlin,2,579
1980,Micah,2,579
1980,Michael-John,2,579
1980,Miguel,2,579
1980,Minh,2,579
1980,Mitch,2,579
1980,Montgomery,2,579
1980,Morris,2,579
1980,Moshe,2,579
1980,Mouhamed,2,579
1980,Nabil,2,579
1980,Najeb,2,579
1980,Nam,2,579
1980,Nathanial,2,579
1980,Nels,2,579
1980,Newton,2,579
1980,Olivier,2,579
1980,Omer,2,579
1980,Orion,2,579
1980,Otis,2,579
1980,Paolo,2,579
1980,Parmvir,2,579
1980,Pedro,2,579
1980,Pierre,2,579
1980,Quincy,2,579
1980,Rajeev,2,579
1980,Reese,2,579
1980,Remi,2,579
1980,Rex,2,579
1980,Rhett,2,579
1980,Rick,2,579
1980,Riel,2,579
1980,Rishi,2,579
1980,Ritchie,2,579
1980,Rodrigo,2,579
1980,Rolando,2,579
1980,Roman,2,579
1980,Roneel,2,579
1980,Ronnie,2,579
1980,Rowan,2,579
1980,Royce,2,579
1980,Ruban,2,579
1980,Ruben,2,579
1980,Rueben,2,579
1980,Russel,2,579
1980,Rylan,2,579
1980,Sacha,2,579
1980,Salah,2,579
1980,Salvatore,2,579
1980,Sam,2,579
1980,Samson,2,579
1980,Sandeep,2,579
1980,Sarmad,2,579
1980,Scotty,2,579
1980,Seamus,2,579
1980,Sebastien,2,579
1980,Shain,2,579
1980,Shea,2,579
1980,Silas,2,579
1980,Simeon,2,579
1980,Stefano,2,579
1980,Stephane,2,579
1980,Stirling,2,579
1980,Tait,2,579
1980,Taras,2,579
1980,Tariq,2,579
1980,Theodor,2,579
1980,Tim,2,579
1980,Timmy,2,579
1980,Tom,2,579
1980,Tomislav,2,579
1980,Vaughn,2,579
1980,Vijay,2,579
1980,Vincenzo,2,579
1980,Wally,2,579
1980,Wendell,2,579
1980,Wesam,2,579
1980,Wilfred,2,579
1980,Will,2,579
1980,Youssef,2,579
1980,Yvon,2,579
1980,Zachariah,2,579
1980,Zaher,2,579
1980,Zane,2,579
1980,Aaren,1,835
1980,Aaronn,1,835
1980,Aarron-David,1,835
1980,Abbas,1,835
1980,Abdelkarim,1,835
1980,Abdo,1,835
1980,Abdulrahman,1,835
1980,Abid,1,835
1980,Abraham,1,835
1980,Abram,1,835
1980,Adamo,1,835
1980,Adedayo,1,835
1980,Adeeb,1,835
1980,Adeel,1,835
1980,Adesh,1,835
1980,Adolphus,1,835
1980,Adon,1,835
1980,Adriaan,1,835
1980,Adriano,1,835
1980,Adris,1,835
1980,Adriyel,1,835
1980,Aedan,1,835
1980,Aidan,1,835
1980,Aiden,1,835
1980,Airion,1,835
1980,Ajay,1,835
1980,Ajit,1,835
1980,Ajmal,1,835
1980,Alaa,1,835
1980,Alasdair,1,835
1980,Alden,1,835
1980,Aldo,1,835
1980,Aldon,1,835
1980,Alec,1,835
1980,Aleef,1,835
1980,Aleem,1,835
1980,Alexandre-Mathieu-Jean-Paul,1,835
1980,Alexandros,1,835
1980,Alexi,1,835
1980,Alfie,1,835
1980,Allyn,1,835
1980,Almin,1,835
1980,Alphons,1,835
1980,Alphonse,1,835
1980,Alson,1,835
1980,Alston,1,835
1980,Alwin,1,835
1980,Aly,1,835
1980,Alykhan,1,835
1980,Alym,1,835
1980,Amar,1,835
1980,Amarpal,1,835
1980,Amer,1,835
1980,Amish,1,835
1980,Amrik,1,835
1980,Anand,1,835
1980,Anant,1,835
1980,Anas,1,835
1980,Anass,1,835
1980,Anderson,1,835
1980,André,1,835
1980,Andrea,1,835
1980,Andreas,1,835
1980,Andree,1,835
1980,Andrzej,1,835
1980,Andy-Samuel,1,835
1980,Aniq,1,835
1980,Ankush,1,835
1980,Anthem,1,835
1980,Antonio-Jose,1,835
1980,Antonios,1,835
1980,Antonius,1,835
1980,Antony,1,835
1980,Antwin,1,835
1980,Anufrii,1,835
1980,Ara,1,835
1980,Archie,1,835
1980,Aren,1,835
1980,Ariel,1,835
1980,Arjay,1,835
1980,Arjun,1,835
1980,Arlie,1,835
1980,Arlyn,1,835
1980,Armond,1,835
1980,Arnell,1,835
1980,A'Ron,1,835
1980,Art,1,835
1980,Arther,1,835
1980,Arvin,1,835
1980,Asaad,1,835
1980,Asam,1,835
1980,Ashiq,1,835
1980,Ashton,1,835
1980,Ashur,1,835
1980,Ashvin,1,835
1980,Aslam,1,835
1980,Atesh,1,835
